Borough,NTAName,SiteName,SiteAddress,Zipcode,DSNYZone,DSNYDistrict,DSNYSection,CommunityDistrict,BoroCT2020,CouncilDistrict,SenateDistrict,CongressionalDistrict,AssemblyDistrict,PolicePrecinct,BBL,BIN,Latitude,Longitude,ObjectId,point
Manhattan,Chelsea-Hudson Yards,Staples,641 6 Ave,10011,MN,MN04,MN041,104,1008700,3,28,12,75,013,1007950044,1014732,40.7407266,-73.9948313,4971,POINT (-73.9948327467923 40.740734862218)
Manhattan,Financial District-Battery Park City,Apple Store,185 Greenwich St,10007,MN,MN01,MN011,101,1001300,1,27,10,61,001,1000580001,1089309,40.711639,-74.012343,4939,POINT (-74.0123444501387 40.7116472558049)
Queens,Glendale,Staples,90-30 Metropolitan Ave,11374,QW,QW06,QW062,406,4063700,32,15,6,28,112,4038840034,4095021,40.71103454,-73.85841309,5040,POINT (-73.8584144913626 40.7110428013713)
Manhattan,Upper West Side-Lincoln Square,Goodwill,157 W 72 St,10023,MN,MN07,MN072,107,1015700,6,47,12,67,020,1011440010,1029921,40.778473,-73.980571,4952,POINT (-73.9805724443064 40.7784812705338)
Bronx,Pelham Parkway-Van Nest,Staples,2040 White Plains Rd,10462,BX,BX11,BX111,211,2022404,13,33,15,80,049,2042847501,2114768,40.85207672,-73.86737946,5035,POINT (-73.8673808728997 40.852085008891)
Queens,Pomonok-Electchester-Hillcrest,Micro Center,71-43 Kissena Blvd (Between 71st and 72nd Aves),11367,QE,QE08,QE083,408,4122702,24,16,6,27,107,,,40.728866,-73.8150369,5030,POINT (-73.8150382878998 40.7288742665016)
Manhattan,Midtown-Times Square,Staples,500 8 Ave,10018,MN,MN05,MN051,105,1010900,3,28,12,75,014,1007850001,1014421,40.7530426,-73.9924445,4984,POINT (-73.992445946516 40.7530508648348)
Brooklyn,Spring Creek-Starrett City,Staples,409 Gateway Dr,11239,BKN,BKN05,BKN053,305,3107001,42,19,8,60,075,3044520490,3348830,40.6539242,-73.8732584,4998,POINT (-73.8732598030281 40.6539324498908)
Queens,Woodside,Salvation Army,3911 61 St,11377,QW,QW02,QW021,402,4026100,26,12,6,30,108,4012310021,4028367,40.746743,-73.9026954,5016,POINT (-73.9026968172109 40.7467512662408)
Queens,Astoria (East)-Woodside (North),Best Buy,5001 Northern Blvd,11101,QW,QW01,QW015,401,4016300,26,12,7,34,114,4007480008,4014093,40.75370894,-73.9117397,5003,POINT (-73.9117411209089 40.753717207998)
Queens,Sunnyside,Goodwill,4747 Van Dam St,11101,QW,QW02,QW023,402,4019901,26,12,7,37,108,4002530001,4003448,40.7415286,-73.9337864,5015,POINT (-73.9337878266541 40.7415368642516)
Manhattan,Upper East Side-Carnegie Hill,Apple Store,940 Madison Ave,10021,MN,MN08,MN082,108,1013000,4,28,12,73,019,1013890017,1041644,40.773375,-73.964538,4988,POINT (-73.9645394386506 40.773383269568)
Staten Island,Port Richmond,J&J Recycling,1641 Richmond Terrace,10310,SI,SI01,SI013,501,5013302,49,23,11,61,120,5001850153,5101101,40.6403145,-74.1212432,5026,POINT (-74.1212446813267 40.6403227379904)
Manhattan,Murray Hill-Kips Bay,Staples,675 3 Ave,10017,MN,MN06,MN062,106,1008800,4,59,12,73,017,1013160001,1037549,40.7509006,-73.973911,5020,POINT (-73.9739124403252 40.7509088647498)
Queens,College Point,DSNY Special Waste Drop-Off Site,12015 31 Ave,11354,QE,QE07,QE075,407,4090700,19,11,14,27,109,4043460075,4610396,40.77123,-73.84757,4994,POINT (-73.8475714013613 40.7712382736239)
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Big Reuse,1 12th St,11215,BKS,BKS06,BKS065,306,3011902,38,26,10,52,078,3010070172,3022202,40.6722888,-73.9971998,4947,POINT (-73.9972012432394 40.6722970490058)
Manhattan,Midtown-Times Square,Staples,442 5th Ave,10018,MN,MN05,MN052,105,1008400,4,28,12,75,014,1008410049,1016046,40.75198,-73.9824833,4983,POINT (-73.982484743555 40.7519882648272)
Brooklyn,East Williamsburg,"T&T Scrap, LLC",340 Maspeth Ave,11211,BKN,BKN01,BKN013,301,3044902,34,18,7,53,090,3029270190,3423685,40.7180546,-73.9304626,4962,POINT (-73.9304640243993 40.7180628598466)
Bronx,Hunts Point,DSNY Special Waste Drop-Off Site,2 Farragut St,10474,BX,BX02,BX021,202,2009302,17,29,14,84,041,2027810306,2007028,40.801686,-73.87343,5011,POINT (-73.8734314117686 40.8016942788159)
Brooklyn,Williamsburg,Apple Store,247 Bedford Ave,11211,BKN,BKN01,BKN012,301,3055300,34,59,7,50,094,3023520090,3421593,40.71561,-73.959746,4956,POINT (-73.9597474340547 40.7156182582226)
Manhattan,Midtown-Times Square,Apple Store,767 5 Ave,10153,MN,MN05,MN052,105,1011202,4,28,12,73,018,1012940001,1036082,40.763609,-73.972435,4979,POINT (-73.9724364410914 40.7636172677704)
Manhattan,Upper West Side-Lincoln Square,Apple Store,1981 Broadway,10023,MN,MN07,MN071,107,1015302,6,47,12,67,020,1011390014,1028850,40.775064,-73.982637,4951,POINT (-73.9826384450588 40.775072269502)
Manhattan,Washington Heights (North),Staples,4320 Broadway,10033,MN,MN12,MN123,112,1027100,10,31,13,72,034,1021670001,1081882,40.852234,-73.934259,5039,POINT (-73.9342604341474 40.8522422863887)
Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills,Salvation Army,493 Mosel Ave,10304,SI,SI02,SI021,502,5005000,50,23,11,63,122,5029210016,5107464,40.60521855,-74.0838506,4966,POINT (-74.0838520674232 40.6052267821255)
Brooklyn,Gravesend (East)-Homecrest,Staples,1880 Coney Island Ave,11230,BKS,BKS12,BKS126,312,3042000,44,22,9,45,066,3066170017,3175203,40.6118064,-73.9630824,5034,POINT (-73.9630838283837 40.6118146378808)
Manhattan,Midtown-Times Square,Staples,1755 Broadway,10019,MN,MN05,MN052,105,1013700,6,28,12,75,018,1010287501,1070014,40.766011,-73.98214997,4980,POINT (-73.9821514135381 40.7660192673255)
Bronx,Co-op City,Staples,330-340 Baychester Ave,10475,BX,BX10,,210,2046205,12,36,14,82,045,2051410035,2102454,40.86768776,-73.82893736,4955,POINT (-73.8289387611431 40.8676960531569)
Manhattan,SoHo-Little Italy-Hudson Square,Apple Store,103 Prince St,10012,MN,MN02,MN021,102,1004900,1,27,10,66,001,1005130039,1007985,40.725117,-73.998979,4938,POINT (-73.9989804467931 40.7251252590536)
Bronx,Hunts Point,Sims Metal Management East,850 Edgewater Rd,10474,BX,BX02,BX021,202,2011502,17,29,14,85,041,2027620316,2097244,40.8184516,-73.8832997,5012,POINT (-73.8833011161815 40.8184598818327)
Bronx,Mount Hope,Salvation Army,4109 Park Ave,10457,BX,BX06,BX062,206,2023100,15,32,15,86,048,2029000039,2009448,40.845553,-73.901079,5002,POINT (-73.9010804228019 40.8455612860795)
Manhattan,Chelsea-Hudson Yards,Salvation Army,208 8 Ave,10011,MN,MN04,MN041,104,1008700,3,47,12,75,010,1007700076,1014059,40.743678,-73.999235,4970,POINT (-73.9992364482056 40.7436862624973)
Bronx,Crotona Park East,Salvation Army,1294 Southern Blvd,10459,BX,BX03,BX031,203,2012300,17,32,15,79,042,2029800006,2010547,40.8306088,-73.891455,5019,POINT (-73.8914564187488 40.8306170831487)
Brooklyn,Flatlands,Staples,1760 Utica Ave,11234,BKS,BKS18,BKS187,318,3072800,45,21,9,41,063,3077750051,3215584,40.62921082,-73.92835207,5007,POINT (-73.928353488374 40.6292190625463)
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Staples,348 4th Ave,11215,BKS,BKS06,BKS064,306,3011901,39,26,10,52,078,3009800023,3021047,40.67418233,-73.98677487,4948,POINT (-73.9867763105179 40.6741905796966)
Manhattan,Midtown South-Flatiron-Union Square,Staples,5 Union Square West,10003,MN,MN05,MN051,105,1005200,2,28,10,66,013,1008420023,1016064,40.73578828,-73.99179116,4975,POINT (-73.9917926051783 40.7357965413643)
Manhattan,Greenwich Village,Goodwill,44 W 8 St,10011,MN,MN02,MN022,102,1006300,2,27,10,66,006,1005530019,1008939,40.732951,-73.998643,4943,POINT (-73.9986444470113 40.7329592606477)
Bronx,Eastchester-Edenwald-Baychester,"PASCAP Co., Inc.",4250 Boston Rd,10475,BX,BX12,BX125,212,2045600,13,34,14,82,047,2056550221,2101267,40.8882201,-73.8225387,5031,POINT (-73.8225401003817 40.8882283969088)
Queens,Elmhurst,Staples,93-18 Roosevelt Ave,11372,QW,QW04,QW042,404,4046700,21,13,6,34,110,4015620017,4530110,40.74868912,-73.87263634,4987,POINT (-73.8726377478453 40.7486973882571)
Staten Island,New Springville-Willowbrook-Bulls Head-Travis,Apple Store,2655 Richmond Ave,10314,SI,SI02,SI024,502,5027702,51,24,11,63,121,5024000180,5039658,40.58187,-74.165866,4963,POINT (-74.1658674913793 40.5818782248001)
Brooklyn,Fort Greene,Apple Store,123 Flatbush Ave,11217,BKN,BKN02,BKN023,302,3003500,35,26,10,57,088,3021107501,3428715,40.686202,-73.978499,4944,POINT (-73.9785004386679 40.6862102525733)
Queens,Jamaica,Lumens,106-15 Sutphin Blvd,11435,QE,QE12,QE122,412,4020400,28,14,5,32,103,4100600030,4215055,40.6948931,-73.8023815,5027,POINT (-73.8023828817537 40.6949013604039)
Brooklyn,East New York (North),WALTER,138 Hinsdale St,11207,BKN,BKN05,BKN051,305,3114400,37,19,8,55,075,3037150021,3326822,40.67227998,-73.90107948,4999,POINT (-73.9010808921343 40.6722882320084)
Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills,Salvation Army,2053 Clove Rd,10304,SI,SI02,SI021,502,5005000,50,23,11,63,122,5029210016,5107464,40.605057,-74.083695,4967,POINT (-74.0836964666613 40.6050652328639)
Brooklyn,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Staples,2892 Ocean Ave,11235,BKS,BKS15,BKS153,315,3059200,48,22,8,41,061,3074210037,3203148,40.5908736,-73.9503307,5038,POINT (-73.9503321228174 40.5908818345933)
